family,threatened,naturalized,invasive,species,vetted,hybrids,animal,asexual,climate.sum,herbaceous,fleshy.fruit,annual,Age (Ma),Range size (km2 x 106)
Lardizabalaceae,0,2,1,37,0,1,1,0,2,0,1,0,105.31,5.864
Lauraceae,241,16,11,2978,329,1,1,1,3,0,0.5,0,99.81,60.169
Lecythidaceae,90,4,3,341,105,0,1,1,2,0,0.5,0,90.56,38.279
Lentibulariaceae,11,9,1,312,187,3,1,0,4,1,0,1,52.07,102.018
Lepidobotryaceae,0,0,0,2,0,0,1,0,1,0,0,0,65.27,2.045
Liliaceae,24,34,6,746,64,24,1,1,4,1,0,1,63.33,48.893
Limeaceae,0,0,0,20,0,0,1,0,2,1,0,0,30.87,25.373
Limnanthaceae,0,1,0,9,0,0,1,0,1,1,0,1,65.4,5.716
Linaceae,5,21,6,213,6,2,1,0,4,0.5,0.5,1,76.73,92.803
Linderniaceae,4,16,4,164,33,0,1,0,3,1,0,0,52.07,46.087
Loasaceae,14,4,2,314,16,1,1,0,3,0.5,0,1,78.39,20.871
Loganiaceae,21,4,1,351,34,0,1,0,3,1,0,1,61.45,56.956
Lophiocarpaceae,0,0,0,5,0,0,1,0,2,1,0,0,,
Lophopyxidaceae,0,0,0,1,0,0,1,0,1,0,0,0,66.05,0.953
Loranthaceae,29,1,3,886,38,2,1,0,3,0,0.5,0,114.5,61.207
Lowiaceae,1,0,0,17,1,0,1,0,2,1,0,0,65.83,2.415
Lythraceae,32,50,21,604,82,10,1,0,3,0.5,0,1,64.9,98.009
Magnoliaceae,148,14,1,250,208,19,1,1,3,0,0.5,0,94.25,15.722
Malpighiaceae,24,10,5,1301,34,0,1,1,2,0,0.5,0,73.49,46.813
Malvaceae,249,226,91,4465,390,156,1,1,4,0.5,0.5,1,65.83,119.809
Marantaceae,20,10,3,569,28,0,1,0,2,1,0.5,0,66.49,40.347
Marcgraviaceae,4,0,0,137,4,0,1,0,1,0,0.5,0,65.43,15.751
Martyniaceae,0,5,2,21,0,0,1,0,2,1,0.5,1,53.17,10.903
Mayacaceae,0,1,0,6,0,0,1,0,2,1,0,0,74.36,15.515
Melanthiaceae,0,9,0,181,2,6,1,1,2,1,0,1,89.47,47.29
Melastomataceae,341,32,14,4079,427,2,1,1,2,0.5,0.5,1,66.48,51.524
Meliaceae,157,16,10,669,247,1,1,1,2,0,0.5,0,49.35,61.414
Melianthaceae,2,3,0,20,2,0,1,0,2,0,0,0,101.48,13.873
Menispermaceae,13,7,4,448,20,0,1,0,3,0.5,0.5,0,103.69,57.902
Menyanthaceae,8,6,5,55,21,1,1,0,1,1,0.5,0,57.3,126.296
Metteniusaceae,8,0,0,3,11,0,1,0,2,0,0,0,98.57,1.685
Misodendraceae,0,0,0,8,0,0,1,0,1,1,0,0,75,0.449
Mitrastemonaceae,0,0,0,2,0,0,1,0,2,1,0.5,0,82.17,0.89
Molluginaceae,1,10,3,103,6,0,1,0,3,1,0,1,28.06,63.927
Monimiaceae,12,0,0,134,18,0,1,0,3,0,0,0,99.81,28.366
Montiaceae,0,9,2,113,0,2,1,0,3,1,0.5,0,28.06,27.106
Montiniaceae,0,0,0,4,0,0,1,0,2,0,0,0,67.66,3.006
Moraceae,53,43,22,1217,151,3,0,1,2,0.5,0.5,1,25.23,98.762
Moringaceae,1,2,1,13,3,0,1,0,3,0,0,0,66.85,4.379
Muntingiaceae,0,1,1,3,0,0,1,0,1,0,1,0,67.47,15.535
Musaceae,1,10,5,78,5,4,1,0,1,1,1,0,66.49,24.801
Myodocarpaceae,0,1,0,15,0,0,1,0,3,0,1,0,56.91,0.12
Myricaceae,4,6,4,53,7,2,0,0,3,0,0.5,0,51.01,72.925
Myristicaceae,160,2,0,170,226,0,1,0,1,0,0.5,0,101.54,36.041
Myrothamnaceae,0,0,0,2,0,0,0,0,1,0,0,0,119.56,4.14
Myrtaceae,334,151,62,5970,548,115,1,1,3,0,0.5,0,80.91,64.941
Nartheciaceae,0,0,0,36,2,1,1,0,4,1,0,0,114.17,7.155
Nelumbonaceae,0,2,2,2,1,0,1,0,2,1,0,0,126.14,6.806
Nepenthaceae,46,0,0,7,117,36,1,0,1,1,0,0,66.52,6.786
Neuradaceae,0,1,0,7,0,0,1,0,2,1,0,1,73.88,7.076
Nitrariaceae,0,1,1,12,1,0,1,0,3,0.5,1,0,65.52,18.269
Nothofagaceae,11,2,0,38,37,7,1,0,3,0,0,0,71.64,2.342
Nyctaginaceae,11,19,13,450,19,3,1,0,3,0.5,0,1,30.64,59.818
Nymphaeaceae,2,15,7,70,15,25,1,0,3,1,1,0,154.26,95.54
Ochnaceae,14,7,1,560,27,1,1,0,2,0.5,0.5,1,76.73,40.371
Olacaceae,6,1,0,149,20,0,1,0,2,0,0.5,0,114.5,43.962
Oleaceae,37,71,28,688,86,23,1,0,3,0,0.5,0,58.89,104.068
Onagraceae,9,168,44,832,37,195,1,1,4,0.5,0.5,1,64.9,120.587
Oncothecaceae,0,0,0,1,0,0,1,0,1,0,1,0,103.08,0.017
Opiliaceae,2,0,0,33,2,0,1,0,1,0,1,0,114.5,43.42
Orchidaceae,654,48,8,27801,1172,1695,1,1,4,1,0.5,0,96.49,118.75
Orobanchaceae,0,58,20,1613,0,66,1,1,3,1,0,1,41.7,131.967
Oxalidaceae,10,56,15,601,17,1,1,0,3,1,0,1,63.16,95.547
Paeoniaceae,1,4,0,36,2,11,1,1,1,1,0,0,101.63,13.926
Pandaceae,0,0,0,17,0,0,1,0,1,0,0.5,0,66.05,15.592
Pandanaceae,26,6,0,1062,41,1,0,0,2,0,0.5,0,67.17,13.077
Papaveraceae,8,82,35,920,13,44,0,0,3,0.5,0,1,123.86,71.955
Paracryphiaceae,0,0,0,29,0,0,1,0,1,0,0,0,69.43,2.019
Passifloraceae,26,42,18,932,43,24,1,0,2,0,0.5,1,76.37,51.713
Paulowniaceae,0,1,1,20,0,2,1,0,3,0,0,0,41.7,2.584
Pedaliaceae,0,6,2,67,2,0,1,0,2,1,0,1,45.25,39.064
Penaeaceae,0,0,0,45,0,0,1,0,1,0,0,0,55.12,5.202
Pennantiaceae,1,0,0,1,1,0,1,0,3,0,0.5,0,86.91,0.667
Pentadiplandraceae,0,0,0,1,0,0,1,0,1,0,1,0,49.16,3.62
Pentaphragmataceae,0,0,0,2,0,0,1,0,1,1,1,0,72.9,3.758
Pentaphylacaceae,64,1,3,429,74,0,1,0,1,0,0,0,79.14,46.94
Penthoraceae,0,1,0,2,1,0,1,0,3,1,0,0,64.67,10.616
Peridiscaceae,2,0,0,9,3,0,1,0,1,0,1,0,101.63,2.922
Petermanniaceae,0,0,0,1,0,0,1,0,2,1,1,0,71.39,0.281
Petrosaviaceae,0,0,0,4,0,0,1,0,3,1,0,0,120.42,1.236
Phellinaceae,0,0,0,1,0,0,1,0,1,0,1,0,55.01,0.017
Philesiaceae,0,0,0,2,0,0,1,0,3,0,1,0,63.33,0.212
Philydraceae,0,0,0,6,0,0,1,0,2,1,0,0,78.07,4.635
Phrymaceae,0,12,3,199,0,11,1,0,2,1,0,0,53.17,9.812
Phyllanthaceae,108,36,15,2099,176,22,1,1,2,0.5,0.5,0,73.49,88.501
Phyllonomaceae,0,0,0,5,0,0,1,0,1,0,1,0,81.22,1.114
Physenaceae,0,0,0,2,0,0,0,0,1,0,0,0,25.57,0.394
Phytolaccaceae,0,14,8,62,0,0,1,0,3,0.5,0.5,1,30.64,52.959
Picramniaceae,3,0,0,48,3,0,1,0,1,0,0.5,0,103.86,15.551
Picrodendraceae,5,0,0,96,7,0,1,0,1,0,1,0,71.83,43.868
Piperaceae,112,13,3,2658,130,0,1,0,2,0,1,1,80.45,58.838
Pittosporaceae,43,14,6,170,65,1,1,0,3,0,0.5,0,69.44,31.852
Plantaginaceae,8,228,60,1614,16,121,0,1,4,1,0,1,57.11,95.492
Platanaceae,1,4,2,9,2,1,0,0,1,0,0,0,126.14,1.634
Plocospermataceae,0,0,0,1,0,0,1,0,2,0,0,0,76.76,0.852
Plumbaginaceae,27,26,9,635,39,38,1,1,4,1,0.5,0,59.25,110.054
Poaceae,143,1233,490,11554,660,319,0,1,4,1,0.5,1,40.95,131.518
Podostemaceae,55,0,0,250,104,0,0,0,2,1,0,1,44.06,44.891
Polemoniaceae,0,36,6,455,4,27,1,0,3,0.5,0,1,75.74,52.972
Polygalaceae,18,15,1,1163,30,7,1,0,3,0.5,0.5,1,72.28,115.195
Polygonaceae,27,178,70,1384,59,199,0,1,4,0.5,0,1,59.25,128.172
Pontederiaceae,0,14,10,33,8,0,1,0,2,1,0,1,66.01,54.696
Portulacaceae,9,16,5,258,18,0,1,0,3,1,0,1,28.06,106.159
Posidoniaceae,1,1,0,10,8,0,0,0,2,1,1,0,,
Potamogetonaceae,4,14,7,186,47,82,0,1,4,1,0.5,0,49.7,119.921
Primulaceae,19,58,17,2788,54,130,1,0,4,1,0,1,36.69,101.043
Proteaceae,45,38,11,1252,57,3,1,0,3,0,0.5,0,126.14,40.374
Putranjivaceae,26,0,0,216,30,0,1,0,2,0,0.5,0,73.59,38.711
Quillajaceae,0,0,0,2,1,0,1,0,2,0,0,0,74.73,0.922
Rafflesiaceae,1,0,0,22,1,0,1,0,2,1,0.5,0,57.38,3.18
Ranunculaceae,23,158,51,2377,80,186,1,1,4,1,0.5,1,87.26,119.471
Rapateaceae,0,0,0,95,0,1,1,0,1,1,0,0,88.1,7.493
Resedaceae,0,8,5,51,2,1,1,0,2,1,0.5,1,43.45,29.508
Restionaceae,1,0,0,482,10,0,0,0,3,1,0,0,59.19,12.06
Rhabdodendraceae,0,0,0,3,0,0,1,0,1,0,0.5,0,83.63,2.988
Rhamnaceae,27,27,12,839,62,39,1,1,3,0,0.5,0,64.04,49.616
Rhipogonaceae,0,0,0,6,0,0,1,0,1.033506121,0,1,0,76.37,19.54
Rhizophoraceae,15,5,3,142,36,4,1,0,2,0,0.5,0,63.33,1.883
Roridulaceae,0,0,0,2,0,0,1,0,2,0,0,0,64.66,0.103
Rosaceae,245,585,198,4827,408,2755,1,1,4,0.5,0.5,1,72.98,126.897
Rousseaceae,0,0,0,14,0,0,1,0,2,0,1,0,77.41,1.489
Rubiaceae,550,148,46,13673,799,68,1,1,4,0,0.5,1,76.5,128.779
Ruppiaceae,0,1,1,8,5,0,0,0,2,1,0.5,1,49.7,5.674
Rutaceae,133,42,24,1730,158,34,1,1,3,0.5,0.5,0,53.37,98.994
Sabiaceae,4,0,0,116,12,0,1,0,2,0,1,0,127.16,21.275
Salicaceae,110,79,28,1269,237,404,0,1,2,0,0,0,58.04,125.63
Salvadoraceae,0,3,0,8,1,0,1,0,2,0,1,0,33.66,32.197
Santalaceae,14,4,4,992,23,2,1,0,3,0.5,0.5,0,114.5,97.711
Sapindaceae,128,62,31,1751,243,30,1,1,3,0.5,0.5,1,58.75,88.47
Sapotaceae,275,15,6,1343,372,1,1,0,1,0,1,0,93.14,47.251
Sarcobataceae,0,0,0,2,0,0,1,0,1,0,0,0,30.64,1.614
