"493","Acmanthera","Acmanthera_latifolia","Malpighiaceae","latifolia","Malpighiaceae","Malpighiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","","Fabidae","","","","","",""
"503","Acnistus","Acnistus_arborescens","Solanaceae","arborescens","Solanaceae","Solanales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"505","Acokanthera","Acokanthera_rotundata","Apocynaceae","rotundata","Apocynaceae","Gentianales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"512","Aconitum","Aconitum_racemulosum","Ranunculaceae","racemulosum","Ranunculaceae","Ranunculales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","","","","","","","","","","","","","","","",""
"529","Aconogonon","Aconogonon_molle","Polygonaceae","molle","Polygonaceae","Caryophyllales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","","","","","","","","","","","","",""
"533","Acorus","Acorus_calamus","Acoraceae","calamus","Acoraceae","Acorales","Spermatophyta","Angiospermae","Mesangiospermae","Monocotyledoneae","","","","","","","","","","","","","","","","","","","",""
"541","Acranthera","Acranthera_atropella","Rubiaceae","atropella","Rubiaceae","Gentianales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"576","Acrophyllum","Acrophyllum_australe","Cunoniaceae","australe","Cunoniaceae","Oxalidales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","","Fabidae","","","","","",""
"579","Acrosanthes","Acrosanthes_teretifolia","Aizoaceae","teretifolia","Aizoaceae","Caryophyllales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","","","","","","","","","","","","",""
"586","Acrotriche","Acrotriche_divaricata","Ericaceae","divaricata","Ericaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
